"Estimate";"SE";"BCI_LI_95";"BCI_UI_95"
"beta_Intercept";0,043;0,005;0,032;0,053
"beta_gender1";-0,417;0,01;-0,436;-0,398
"beta_age_b1";0,358;0,013;0,332;0,384
"beta_age_b2";0,134;0,01;0,115;0,155
"beta_age_b3";-0,094;0,009;-0,112;-0,077
"beta_age_b4";-0,106;0,009;-0,124;-0,088
"beta_leadership_b";0,264;0,016;0,233;0,296
"sigma";0,953;0,003;0,946;0,959
"nu";215,857;34,033;158,567;289,255
"simo_moleadership_b1[1]";0,408;0,057;0,299;0,523
"simo_moleadership_b1[2]";0,592;0,057;0,477;0,701
